"p","U:0","U:1","U:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-4.0493e-05,0.095127,-0.0015674,0.010296,0.00045506,1.358e-05,7.2328e-05,-3.2335e-05,1.7113e-06,2.222e-05,1,0.07,2,0.07,1
-3.8886e-05,0.097143,-0.0015571,0.010609,0.00044704,1.4174e-05,7.2505e-05,-3.235e-05,1.7454e-06,2.2078e-05,1,0.072,2,0.072,1
-3.728e-05,0.099159,-0.0015469,0.010922,0.00043903,1.4767e-05,7.2682e-05,-3.2364e-05,1.7795e-06,2.1937e-05,1,0.074,2,0.074,1
-3.5576e-05,0.10091,-0.0014908,0.010903,0.00043184,1.533e-05,7.2841e-05,-3.2264e-05,1.8203e-06,2.1946e-05,1,0.076,2,0.076,1
-3.3811e-05,0.10248,-0.001405,0.01067,0.00042518,1.5873e-05,7.2988e-05,-3.209e-05,1.8654e-06,2.2051e-05,1,0.078,2,0.078,1
-3.2046e-05,0.10406,-0.0013192,0.010437,0.00041853,1.6416e-05,7.3135e-05,-3.1915e-05,1.9106e-06,2.2156e-05,1,0.08,2,0.08,1
-3.0281e-05,0.10564,-0.0012334,0.010203,0.00041187,1.696e-05,7.3281e-05,-3.1741e-05,1.9557e-06,2.2261e-05,1,0.082,2,0.082,1
-2.8515e-05,0.10721,-0.0011476,0.00997,0.00040522,1.7503e-05,7.3428e-05,-3.1566e-05,2.0008e-06,2.2366e-05,1,0.084,2,0.084,1
-2.675e-05,0.10879,-0.0010618,0.0097368,0.00039856,1.8046e-05,7.3575e-05,-3.1391e-05,2.046e-06,2.2472e-05,1,0.086,2,0.086,1
-2.4985e-05,0.11037,-0.00097598,0.0095036,0.00039191,1.8589e-05,7.3722e-05,-3.1217e-05,2.0911e-06,2.2577e-05,1,0.088,2,0.088,1
-2.3219e-05,0.11194,-0.00089018,0.0092703,0.00038525,1.9132e-05,7.3869e-05,-3.1042e-05,2.1362e-06,2.2682e-05,1,0.09,2,0.09,1
-2.1454e-05,0.11352,-0.00080438,0.0090371,0.0003786,1.9675e-05,7.4015e-05,-3.0868e-05,2.1814e-06,2.2787e-05,1,0.092,2,0.092,1
-1.9539e-05,0.1143,-0.00071143,0.0088789,0.00037322,2.0122e-05,7.4043e-05,-3.0765e-05,2.3153e-06,2.2526e-05,1,0.094,2,0.094,1
-1.7613e-05,0.11502,-0.0006179,0.0087268,0.00036795,2.0561e-05,7.406e-05,-3.0668e-05,2.4564e-06,2.2235e-05,1,0.096,2,0.096,1
-1.5686e-05,0.11574,-0.00052437,0.0085747,0.00036268,2.1e-05,7.4078e-05,-3.0571e-05,2.5974e-06,2.1943e-05,1,0.098,2,0.098,1
-1.3759e-05,0.11646,-0.00043084,0.0084226,0.00035742,2.1439e-05,7.4096e-05,-3.0474e-05,2.7385e-06,2.1652e-05,1,0.1,2,0.1,1
-1.1832e-05,0.11718,-0.00033731,0.0082705,0.00035215,2.1878e-05,7.4114e-05,-3.0377e-05,2.8796e-06,2.1361e-05,1,0.102,2,0.102,1
-9.9051e-06,0.1179,-0.00024378,0.0081184,0.00034688,2.2317e-05,7.4131e-05,-3.028e-05,3.0207e-06,2.107e-05,1,0.104,2,0.104,1
-7.9783e-06,0.11862,-0.00015025,0.0079663,0.00034161,2.2756e-05,7.4149e-05,-3.0183e-05,3.1618e-06,2.0779e-05,1,0.106,2,0.106,1
-6.0514e-06,0.11934,-5.6725e-05,0.0078142,0.00033634,2.3195e-05,7.4167e-05,-3.0086e-05,3.3029e-06,2.0487e-05,1,0.108,2,0.108,1
-4.1246e-06,0.12006,3.6805e-05,0.0076621,0.00033107,2.3634e-05,7.4184e-05,-2.9989e-05,3.444e-06,2.0196e-05,1,0.11,2,0.11,1
-2.1276e-06,0.12061,0.00011472,0.0075659,0.00032615,2.403e-05,7.4127e-05,-2.9948e-05,3.5837e-06,1.9877e-05,1,0.112,2,0.112,1
4.4018e-09,0.12082,0.00016253,0.0075776,0.00032191,2.4341e-05,7.3925e-05,-3.0015e-05,3.7205e-06,1.9502e-05,1,0.114,2,0.114,1
2.1364e-06,0.12104,0.00021035,0.0075893,0.00031767,2.4653e-05,7.3724e-05,-3.0082e-05,3.8574e-06,1.9128e-05,1,0.116,2,0.116,1
4.2685e-06,0.12125,0.00025816,0.0076011,0.00031343,2.4964e-05,7.3522e-05,-3.0149e-05,3.9942e-06,1.8754e-05,1,0.118,2,0.118,1
6.4005e-06,0.12147,0.00030598,0.0076128,0.0003092,2.5275e-05,7.332e-05,-3.0216e-05,4.1311e-06,1.838e-05,1,0.12,2,0.12,1
8.5326e-06,0.12168,0.00035379,0.0076245,0.00030496,2.5587e-05,7.3119e-05,-3.0284e-05,4.2679e-06,1.8006e-05,1,0.122,2,0.122,1
1.0665e-05,0.1219,0.00040161,0.0076362,0.00030072,2.5898e-05,7.2917e-05,-3.0351e-05,4.4048e-06,1.7632e-05,1,0.124,2,0.124,1
1.2797e-05,0.12211,0.00044942,0.0076479,0.00029648,2.621e-05,7.2715e-05,-3.0418e-05,4.5416e-06,1.7257e-05,1,0.126,2,0.126,1
1.4929e-05,0.12233,0.00049723,0.0076596,0.00029224,2.6521e-05,7.2513e-05,-3.0485e-05,4.6785e-06,1.6883e-05,1,0.128,2,0.128,1
1.7061e-05,0.12254,0.00054505,0.0076713,0.000288,2.6832e-05,7.2312e-05,-3.0552e-05,4.8153e-06,1.6509e-05,1,0.13,2,0.13,1
1.9193e-05,0.12276,0.00059286,0.007683,0.00028376,2.7144e-05,7.211e-05,-3.0619e-05,4.9522e-06,1.6135e-05,1,0.132,2,0.132,1
2.0993e-05,0.12292,0.00060392,0.0077364,0.00028062,2.7391e-05,7.183e-05,-3.0716e-05,5.0001e-06,1.5998e-05,1,0.134,2,0.134,1
2.269e-05,0.12306,0.0006036,0.0078027,0.00027781,2.7617e-05,7.1526e-05,-3.0822e-05,5.0204e-06,1.5934e-05,1,0.136,2,0.136,1
2.4388e-05,0.1232,0.00060327,0.007869,0.000275,2.7844e-05,7.1221e-05,-3.0928e-05,5.0407e-06,1.5871e-05,1,0.138,2,0.138,1
2.6085e-05,0.12334,0.00060294,0.0079352,0.0002722,2.8071e-05,7.0917e-05,-3.1035e-05,5.061e-06,1.5807e-05,1,0.14,2,0.14,1
2.7782e-05,0.12348,0.00060262,0.0080015,0.00026939,2.8297e-05,7.0612e-05,-3.1141e-05,5.0813e-06,1.5744e-05,1,0.142,2,0.142,1
2.9479e-05,0.12362,0.00060229,0.0080678,0.00026659,2.8524e-05,7.0308e-05,-3.1247e-05,5.1016e-06,1.568e-05,1,0.144,2,0.144,1
3.1177e-05,0.12376,0.00060196,0.0081341,0.00026378,2.8751e-05,7.0003e-05,-3.1353e-05,5.1219e-06,1.5617e-05,1,0.146,2,0.146,1
3.2874e-05,0.12389,0.00060164,0.0082004,0.00026097,2.8977e-05,6.9699e-05,-3.146e-05,5.1422e-06,1.5553e-05,1,0.148,2,0.148,1
3.4571e-05,0.12403,0.00060131,0.0082667,0.00025817,2.9204e-05,6.9394e-05,-3.1566e-05,5.1625e-06,1.549e-05,1,0.15,2,0.15,1
3.6269e-05,0.12417,0.00060098,0.008333,0.00025536,2.9431e-05,6.909e-05,-3.1672e-05,5.1828e-06,1.5426e-05,1,0.152,2,0.152,1
3.7966e-05,0.12431,0.00060066,0.0083992,0.00025256,2.9657e-05,6.8786e-05,-3.1778e-05,5.2032e-06,1.5363e-05,1,0.154,2,0.154,1
3.9597e-05,0.12445,0.00059866,0.0084533,0.00024983,2.9876e-05,6.8481e-05,-3.1882e-05,5.2164e-06,1.5303e-05,1,0.156,2,0.156,1
4.0536e-05,0.12455,0.0005792,0.008379,0.00024794,3.0011e-05,6.8174e-05,-3.1961e-05,5.1554e-06,1.5282e-05,1,0.158,2,0.158,1
4.1476e-05,0.12466,0.00055974,0.0083047,0.00024605,3.0145e-05,6.7866e-05,-3.204e-05,5.0944e-06,1.5262e-05,1,0.16,2,0.16,1
4.2415e-05,0.12476,0.00054028,0.0082304,0.00024416,3.028e-05,6.7559e-05,-3.2119e-05,5.0335e-06,1.5241e-05,1,0.162,2,0.162,1
4.3354e-05,0.12487,0.00052082,0.0081561,0.00024227,3.0415e-05,6.7252e-05,-3.2198e-05,4.9725e-06,1.522e-05,1,0.164,2,0.164,1
4.4294e-05,0.12497,0.00050136,0.0080818,0.00024037,3.055e-05,6.6945e-05,-3.2277e-05,4.9115e-06,1.52e-05,1,0.166,2,0.166,1
4.5233e-05,0.12508,0.0004819,0.0080075,0.00023848,3.0684e-05,6.6637e-05,-3.2356e-05,4.8506e-06,1.5179e-05,1,0.168,2,0.168,1
4.6172e-05,0.12518,0.00046243,0.0079332,0.00023659,3.0819e-05,6.633e-05,-3.2435e-05,4.7896e-06,1.5158e-05,1,0.17,2,0.17,1
4.7112e-05,0.12528,0.00044297,0.0078589,0.0002347,3.0954e-05,6.6023e-05,-3.2514e-05,4.7286e-06,1.5138e-05,1,0.172,2,0.172,1
4.8051e-05,0.12539,0.00042351,0.0077846,0.00023281,3.1089e-05,6.5716e-05,-3.2593e-05,4.6677e-06,1.5117e-05,1,0.174,2,0.174,1
4.899e-05,0.12549,0.00040405,0.0077103,0.00023092,3.1223e-05,6.5409e-05,-3.2672e-05,4.6067e-06,1.5096e-05,1,0.176,2,0.176,1
4.993e-05,0.1256,0.00038459,0.007636,0.00022903,3.1358e-05,6.5101e-05,-3.2751e-05,4.5457e-06,1.5076e-05,1,0.178,2,0.178,1
5.0869e-05,0.1257,0.00036513,0.0075618,0.00022713,3.1493e-05,6.4794e-05,-3.283e-05,4.4847e-06,1.5055e-05,1,0.18,2,0.18,1
5.1744e-05,0.12577,0.00034618,0.0074656,0.00022527,3.161e-05,6.4482e-05,-3.2903e-05,4.4238e-06,1.5024e-05,1,0.182,2,0.182,1
5.2361e-05,0.12571,0.0003293,0.0072816,0.00022351,3.1657e-05,6.4153e-05,-3.2949e-05,4.3631e-06,1.4951e-05,1,0.184,2,0.184,1
5.2978e-05,0.12566,0.00031242,0.0070975,0.00022175,3.1704e-05,6.3824e-05,-3.2994e-05,4.3023e-06,1.4879e-05,1,0.186,2,0.186,1
5.3594e-05,0.1256,0.00029554,0.0069134,0.00021999,3.1751e-05,6.3495e-05,-3.304e-05,4.2416e-06,1.4806e-05,1,0.188,2,0.188,1
5.4211e-05,0.12554,0.00027866,0.0067294,0.00021823,3.1799e-05,6.3166e-05,-3.3086e-05,4.1808e-06,1.4734e-05,1,0.19,2,0.19,1
5.4828e-05,0.12548,0.00026178,0.0065453,0.00021647,3.1846e-05,6.2837e-05,-3.3132e-05,4.1201e-06,1.4661e-05,1,0.192,2,0.192,1
5.5445e-05,0.12542,0.0002449,0.0063613,0.00021471,3.1893e-05,6.2508e-05,-3.3178e-05,4.0593e-06,1.4589e-05,1,0.194,2,0.194,1
