"p","U:0","U:1","U:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00012721,0.12074,-0.00049832,-0.0079819,0.00047773,1.187e-05,6.5032e-05,-3.3948e-05,6.2033e-07,-1.0163e-05,1,0.07,2,0.07,1.5
0.00012751,0.1216,-0.0004751,-0.008294,0.00047144,1.2442e-05,6.5672e-05,-3.4242e-05,6.3756e-07,-1.0264e-05,1,0.072,2,0.072,1.5
0.00012781,0.12247,-0.00045187,-0.0086061,0.00046516,1.3014e-05,6.6312e-05,-3.4536e-05,6.548e-07,-1.0365e-05,1,0.074,2,0.074,1.5
0.00012818,0.12334,-0.00044682,-0.00888,0.00045705,1.3631e-05,6.6799e-05,-3.4798e-05,6.4904e-07,-1.009e-05,1,0.076,2,0.076,1.5
0.00012858,0.1242,-0.00045355,-0.0091293,0.00044777,1.4278e-05,6.7186e-05,-3.5039e-05,6.2837e-07,-9.5714e-06,1,0.078,2,0.078,1.5
0.00012899,0.12507,-0.00046028,-0.0093785,0.00043849,1.4924e-05,6.7573e-05,-3.5279e-05,6.0771e-07,-9.0528e-06,1,0.08,2,0.08,1.5
0.0001294,0.12593,-0.00046701,-0.0096278,0.0004292,1.5571e-05,6.796e-05,-3.552e-05,5.8704e-07,-8.5342e-06,1,0.082,2,0.082,1.5
0.0001298,0.12669,-0.00044937,-0.0097995,0.00042054,1.6188e-05,6.8268e-05,-3.573e-05,5.6291e-07,-8.0226e-06,1,0.084,2,0.084,1.5
0.0001302,0.12714,-0.00036445,-0.0097571,0.00041358,1.6727e-05,6.8359e-05,-3.5853e-05,5.2919e-07,-7.5306e-06,1,0.086,2,0.086,1.5
0.00013061,0.12758,-0.00027954,-0.0097148,0.00040663,1.7266e-05,6.845e-05,-3.5976e-05,4.9547e-07,-7.0386e-06,1,0.088,2,0.088,1.5
0.00013101,0.12803,-0.00019462,-0.0096724,0.00039967,1.7805e-05,6.8541e-05,-3.6099e-05,4.6176e-07,-6.5465e-06,1,0.09,2,0.09,1.5
0.00013141,0.12848,-0.0001097,-0.00963,0.00039271,1.8343e-05,6.8632e-05,-3.6222e-05,4.2804e-07,-6.0545e-06,1,0.092,2,0.092,1.5
