"p","U:0","U:1","U:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00012209,0.13705,-0.00051488,-0.0019898,0.00016227,3.5364e-05,4.9525e-05,-3.6318e-05,-3.6187e-06,2.4645e-06,1,0.266,2,0.266,1.5
0.00012218,0.137,-0.0006418,-0.0018771,0.00016175,3.5458e-05,4.9468e-05,-3.6424e-05,-3.6269e-06,2.731e-06,1,0.268,2,0.268,1.5
0.00012227,0.13695,-0.00076872,-0.0017643,0.00016123,3.5553e-05,4.9412e-05,-3.6531e-05,-3.6351e-06,2.9975e-06,1,0.27,2,0.27,1.5
0.00012236,0.1369,-0.00089564,-0.0016515,0.00016071,3.5648e-05,4.9355e-05,-3.6637e-05,-3.6434e-06,3.2641e-06,1,0.272,2,0.272,1.5
0.00012245,0.13685,-0.0010226,-0.0015387,0.00016019,3.5743e-05,4.9299e-05,-3.6743e-05,-3.6516e-06,3.5306e-06,1,0.274,2,0.274,1.5
0.00012254,0.13679,-0.0011495,-0.0014259,0.00015968,3.5838e-05,4.9242e-05,-3.6849e-05,-3.6598e-06,3.7971e-06,1,0.276,2,0.276,1.5
0.00012268,0.13693,-0.0011412,-0.0013145,0.00015875,3.5819e-05,4.9199e-05,-3.6777e-05,-3.6658e-06,3.8783e-06,1,0.278,2,0.278,1.5
0.00012282,0.13708,-0.0011237,-0.0012032,0.00015779,3.5793e-05,4.9156e-05,-3.6692e-05,-3.6716e-06,3.9466e-06,1,0.28,2,0.28,1.5
0.00012296,0.13723,-0.0011061,-0.0010919,0.00015683,3.5766e-05,4.9114e-05,-3.6607e-05,-3.6773e-06,4.015e-06,1,0.282,2,0.282,1.5
0.0001231,0.13738,-0.0010885,-0.00098067,0.00015587,3.574e-05,4.9071e-05,-3.6522e-05,-3.6831e-06,4.0833e-06,1,0.284,2,0.284,1.5
0.00012324,0.13753,-0.001071,-0.00086939,0.00015491,3.5713e-05,4.9028e-05,-3.6437e-05,-3.6889e-06,4.1517e-06,1,0.286,2,0.286,1.5
0.00012338,0.13768,-0.0010534,-0.00075811,0.00015395,3.5687e-05,4.8986e-05,-3.6352e-05,-3.6947e-06,4.22e-06,1,0.288,2,0.288,1.5
