epoch,loss,r2_2,val_loss,val_r2_2
0,0.15270384013226396,0.84591764,0.07759137258616511,0.92216957
1,0.06916105687538365,0.9300923,0.05944286325419842,0.9403785
2,0.03241371175201059,0.9672906,0.01641126587847816,0.98358774
3,0.013146020210230416,0.9867327,0.0157319459361084,0.9841921
4,0.008242102276989944,0.9916935,0.007129771534549364,0.99286324
5,0.006375986419661007,0.9935502,0.00448732077520454,0.99551505
6,0.004723583323390185,0.99522424,0.0036082977257474117,0.9963902
7,0.0035203337954326746,0.996442,0.008371421805269874,0.9916047
8,0.0028516160790422796,0.9971147,0.003017316410760553,0.9969766
9,0.0024845233155189003,0.9974898,0.001680692046625224,0.9983167
10,0.0026463425616377427,0.9973252,0.0019803178131545672,0.99801654
11,0.001663690158853053,0.9983183,0.0021203325245650467,0.99786985
12,0.0016316479245947933,0.998352,0.001032322629209397,0.998965
13,0.001921257895097301,0.9980586,0.0020817359240389464,0.99790674
14,0.0017471319379637254,0.99824125,0.0017618165967582804,0.99823076
15,0.001175252150428009,0.9988114,0.0009143395214736267,0.999084
16,0.0012392746372351367,0.99875116,0.007670854357077427,0.99229574
17,0.0015879344089726791,0.9983871,0.0008863777009706189,0.99910843
18,0.0011352499336157976,0.99885654,0.0006894993059179564,0.9993085
19,0.0011263240554401103,0.99886274,0.0011447711090281031,0.9988511
20,0.0012436511559899127,0.99874824,0.0005971614167270596,0.9994012
21,0.00099314817949571,0.99899924,0.0006952121524254868,0.99930507
22,0.001128528270817392,0.9988663,0.0011631079903608736,0.9988313
23,0.0011429369824916499,0.99883777,0.007190641046480545,0.99278474
24,0.0008824852761775257,0.99911046,0.0005088427678786822,0.9994913
25,0.0008630441844189835,0.9991359,0.0007783377371688997,0.9992199
26,0.0007975345062560654,0.99919367,0.0008874956851796196,0.99911124
27,0.0009746138100946913,0.99901605,0.0009404927675512874,0.9990564
28,0.0008647259181036171,0.9991272,0.0008174788487360109,0.9991827
29,0.0007666371713225014,0.9992249,0.0007989486991083122,0.9991975
30,0.0008357737694168609,0.9991551,0.0011682275596442354,0.99882543
31,0.0006786488757332635,0.99931246,0.0005079498669729005,0.9994905
32,0.0008861839811959018,0.9990942,0.00035182232159686877,0.999647
33,0.0006536956757276482,0.9993391,0.00704805518366293,0.9929206
34,0.0007043250034628613,0.99928725,0.0015682741555601782,0.99842775
35,0.0007582832823905324,0.9992401,0.0004322923464438916,0.9995661
36,0.0006058247134773395,0.9993813,0.0005493915921038527,0.99944645
37,0.0004782269620383795,0.9995164,0.0003153313785348337,0.9996844
38,0.0007656725450894495,0.9992282,0.00028513585042977044,0.99971426
39,0.0006815169849620532,0.99930954,0.00024390289680438544,0.99975395
40,0.0005365091915656455,0.9994564,0.0002604355034653569,0.99973917
41,0.0005543397040636458,0.9994438,0.00036866902709791166,0.9996296
42,0.0006789092372896451,0.9993095,0.0006277316029243356,0.9993686
43,0.000507072730950176,0.9994883,0.0002875124626301003,0.9997118
44,0.0005764065571856514,0.9994184,0.00027641507985886915,0.9997232
45,0.0005525247689221128,0.99943876,0.0002476116930141635,0.99975115
46,0.0005535802176256787,0.99944276,0.0002202931973519808,0.9997786
47,0.0005430170936421723,0.99945337,0.001284469352469211,0.99871266
48,0.0005146985577628596,0.9994782,0.0007290180994281695,0.9992699
49,0.0007366323812720224,0.99925923,0.00019610648308984364,0.9998032
50,0.00040827483222190703,0.99959284,0.0002595497109863967,0.9997405
51,0.0003590262472384626,0.9996361,0.0002593767621830726,0.9997405
52,0.00046155756369861554,0.9995347,0.0007993064130079291,0.99919784
53,0.0005884791311136168,0.9994074,0.00024245173303756722,0.9997573
54,0.0003577078397438827,0.9996397,0.0002937719069498024,0.9997041
55,0.0005109324962812153,0.999485,0.0002834829192783003,0.99971503
56,0.0004960257674897764,0.9994959,0.00022683408123206513,0.999773
57,0.0005743547326968166,0.99942434,0.0002703204115730215,0.9997286
58,0.00039455348848151426,0.99960023,0.00015305054627267576,0.9998465
59,0.00036188260478822536,0.999633,0.00044289866531814243,0.99955577
60,0.00044783143950520154,0.99954754,0.00014606973423928892,0.9998537
61,0.0003637247850274099,0.9996331,0.0007670982565870493,0.99922955
62,0.00043390730511060576,0.9995611,0.00016884208288596897,0.9998307
63,0.0006856919354772561,0.9993069,0.00012240487231027816,0.99987763
64,0.00032589608378268516,0.9996701,0.0007295176259238176,0.99926776
65,0.00040346942221353534,0.9995931,0.00020942202614339817,0.99979043
66,0.0004047934028574556,0.9995894,0.00023879615537619712,0.99975926
67,0.00029072245600087393,0.9997046,0.0002807754311247272,0.99971867
68,0.0004032699734648837,0.9995926,0.0003023409963712592,0.9996958
69,0.00041545620527706827,0.9995815,0.0001261770347719532,0.9998734
70,0.00033065108326093754,0.9996676,0.0003088568130873426,0.9996905
71,0.0003571883207760238,0.9996393,0.00014373163446094743,0.9998555
72,0.0004128955956068906,0.9995845,0.00032285504779501245,0.99967647
73,0.0003974939393366898,0.9996004,0.00012856715930663188,0.99987155
