"p","U:0","U:1","U:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00028446,0.11622,0.000684,0.0078663,0.00042739,1.4336e-05,7.379e-05,-3.3585e-05,2.7755e-06,5.0884e-07,1,0.072,2,0.072,1.9
0.00028279,0.11814,0.00073492,0.0079092,0.00041948,1.4998e-05,7.3803e-05,-3.3768e-05,2.7877e-06,4.7745e-07,1,0.074,2,0.074,1.9
0.00027997,0.11939,0.00088819,0.0079723,0.00041161,1.5568e-05,7.3626e-05,-3.3794e-05,2.7943e-06,3.7279e-07,1,0.076,2,0.076,1.9
0.00027641,0.1202,0.0011078,0.0080487,0.00040378,1.6081e-05,7.3325e-05,-3.3719e-05,2.7972e-06,2.2064e-07,1,0.078,2,0.078,1.9
0.00027285,0.12102,0.0013274,0.008125,0.00039594,1.6593e-05,7.3024e-05,-3.3643e-05,2.8001e-06,6.8497e-08,1,0.08,2,0.08,1.9
0.00026928,0.12183,0.001547,0.0082013,0.00038811,1.7105e-05,7.2723e-05,-3.3567e-05,2.803e-06,-8.3651e-08,1,0.082,2,0.082,1.9
0.00026569,0.12262,0.0017255,0.0082793,0.00038051,1.762e-05,7.2424e-05,-3.3456e-05,2.8104e-06,-1.3478e-07,1,0.084,2,0.084,1.9
0.00026201,0.12334,0.0017906,0.0083621,0.00037355,1.8143e-05,7.2129e-05,-3.3247e-05,2.8299e-06,9.3106e-08,1,0.086,2,0.086,1.9
0.00025832,0.12406,0.0018556,0.0084449,0.00036659,1.8666e-05,7.1835e-05,-3.3037e-05,2.8495e-06,3.2099e-07,1,0.088,2,0.088,1.9
0.00025464,0.12477,0.0019206,0.0085277,0.00035964,1.9189e-05,7.1541e-05,-3.2828e-05,2.8691e-06,5.4887e-07,1,0.09,2,0.09,1.9
0.00025096,0.12549,0.0019857,0.0086105,0.00035268,1.9711e-05,7.1246e-05,-3.2619e-05,2.8886e-06,7.7675e-07,1,0.092,2,0.092,1.9
0.00024589,0.12595,0.0021864,0.0086292,0.00034706,2.0101e-05,7.1155e-05,-3.246e-05,2.8154e-06,1.1428e-06,1,0.094,2,0.094,1.9
0.0002407,0.12639,0.0023981,0.0086427,0.00034156,2.048e-05,7.1079e-05,-3.2305e-05,2.7346e-06,1.5201e-06,1,0.096,2,0.096,1.9
