"p","U:0","U:1","U:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.31e-05,0.10428,-0.00052362,-0.0022057,0.0005098,1.1937e-05,6.5375e-05,-3.4941e-05,9.0798e-07,2.6572e-05,1,0.068,2,0.068,0.1
-6.3297e-05,0.10485,-0.00059414,-0.0018634,0.00050105,1.2561e-05,6.5474e-05,-3.5354e-05,9.4912e-07,2.6894e-05,1,0.07,2,0.07,0.1
-6.3494e-05,0.10541,-0.00066465,-0.0015212,0.0004923,1.3185e-05,6.5574e-05,-3.5766e-05,9.9026e-07,2.7216e-05,1,0.072,2,0.072,0.1
-6.3691e-05,0.10598,-0.00073516,-0.001179,0.00048355,1.3809e-05,6.5673e-05,-3.6179e-05,1.0314e-06,2.7538e-05,1,0.074,2,0.074,0.1
-6.3401e-05,0.10628,-0.00078626,-0.0010775,0.00047545,1.442e-05,6.5473e-05,-3.6376e-05,1.0202e-06,2.7515e-05,1,0.076,2,0.076,0.1
-6.2796e-05,0.10641,-0.00082477,-0.0011319,0.00046777,1.5024e-05,6.5078e-05,-3.6434e-05,9.7515e-07,2.727e-05,1,0.078,2,0.078,0.1
-6.2191e-05,0.10653,-0.00086328,-0.0011864,0.00046009,1.5627e-05,6.4684e-05,-3.6491e-05,9.3007e-07,2.7024e-05,1,0.08,2,0.08,0.1
-6.1586e-05,0.10666,-0.00090178,-0.0012409,0.00045241,1.623e-05,6.429e-05,-3.6549e-05,8.8498e-07,2.6779e-05,1,0.082,2,0.082,0.1
-6.1194e-05,0.10675,-0.00094247,-0.00126,0.00044424,1.6833e-05,6.3998e-05,-3.6604e-05,8.4139e-07,2.6533e-05,1,0.084,2,0.084,0.1
-6.1392e-05,0.10674,-0.00098915,-0.0011815,0.00043471,1.7432e-05,6.3989e-05,-3.6653e-05,8.019e-07,2.6289e-05,1,0.086,2,0.086,0.1
-6.1589e-05,0.10672,-0.0010358,-0.0011029,0.00042518,1.8031e-05,6.398e-05,-3.6702e-05,7.624e-07,2.6045e-05,1,0.088,2,0.088,0.1
-6.1787e-05,0.1067,-0.0010825,-0.0010244,0.00041565,1.863e-05,6.3971e-05,-3.6751e-05,7.2291e-07,2.5801e-05,1,0.09,2,0.09,0.1
-6.1984e-05,0.10669,-0.0011292,-0.00094587,0.00040612,1.9229e-05,6.3962e-05,-3.68e-05,6.8341e-07,2.5556e-05,1,0.092,2,0.092,0.1
-6.2795e-05,0.10658,-0.0013401,-0.00083629,0.00039942,1.9757e-05,6.3856e-05,-3.6825e-05,7.0493e-07,2.5291e-05,1,0.094,2,0.094,0.1
-6.3655e-05,0.10647,-0.0015644,-0.00072419,0.00039295,2.0279e-05,6.3743e-05,-3.6847e-05,7.314e-07,2.5023e-05,1,0.096,2,0.096,0.1
-6.4515e-05,0.10635,-0.0017887,-0.00061208,0.00038648,2.0801e-05,6.3629e-05,-3.6869e-05,7.5787e-07,2.4756e-05,1,0.098,2,0.098,0.1
-6.5376e-05,0.10624,-0.002013,-0.00049998,0.00038002,2.1324e-05,6.3515e-05,-3.6891e-05,7.8434e-07,2.4488e-05,1,0.1,2,0.1,0.1
-6.6293e-05,0.10618,-0.0022225,-0.00039808,0.00037326,2.1846e-05,6.3442e-05,-3.6897e-05,8.0198e-07,2.4223e-05,1,0.102,2,0.102,0.1
-6.7582e-05,0.10645,-0.0023359,-0.00036255,0.00036461,2.237e-05,6.3628e-05,-3.6802e-05,7.6216e-07,2.3968e-05,1,0.104,2,0.104,0.1
-6.8871e-05,0.10672,-0.0024493,-0.00032701,0.00035597,2.2894e-05,6.3815e-05,-3.6707e-05,7.2234e-07,2.3714e-05,1,0.106,2,0.106,0.1
-7.016e-05,0.10699,-0.0025626,-0.00029148,0.00034732,2.3417e-05,6.4001e-05,-3.6611e-05,6.8252e-07,2.346e-05,1,0.108,2,0.108,0.1
-7.145e-05,0.10726,-0.002676,-0.00025594,0.00033868,2.3941e-05,6.4188e-05,-3.6516e-05,6.427e-07,2.3206e-05,1,0.11,2,0.11,0.1
-7.2727e-05,0.10746,-0.0027999,-0.00011801,0.00033158,2.4416e-05,6.4376e-05,-3.646e-05,6.6957e-07,2.2874e-05,1,0.112,2,0.112,0.1
-7.3982e-05,0.10751,-0.002944,0.00021724,0.00032743,2.4798e-05,6.4566e-05,-3.6481e-05,8.2495e-07,2.2393e-05,1,0.114,2,0.114,0.1
-7.5238e-05,0.10755,-0.0030881,0.00055248,0.00032329,2.518e-05,6.4756e-05,-3.6502e-05,9.8032e-07,2.1912e-05,1,0.116,2,0.116,0.1
-7.6493e-05,0.1076,-0.0032322,0.00088773,0.00031915,2.5562e-05,6.4947e-05,-3.6523e-05,1.1357e-06,2.1432e-05,1,0.118,2,0.118,0.1
-7.7748e-05,0.10765,-0.0033763,0.001223,0.000315,2.5944e-05,6.5137e-05,-3.6543e-05,1.2911e-06,2.0951e-05,1,0.12,2,0.12,0.1
-7.9001e-05,0.10773,-0.0035132,0.0015619,0.00031076,2.6326e-05,6.5322e-05,-3.6553e-05,1.4411e-06,2.0476e-05,1,0.122,2,0.122,0.1
-8.0221e-05,0.10828,-0.0035203,0.0019676,0.00030468,2.6713e-05,6.541e-05,-3.6361e-05,1.4956e-06,2.0109e-05,1,0.124,2,0.124,0.1
-8.144e-05,0.10883,-0.0035274,0.0023732,0.0002986,2.71e-05,6.5499e-05,-3.6168e-05,1.55e-06,1.9741e-05,1,0.126,2,0.126,0.1
-8.2659e-05,0.10938,-0.0035345,0.0027788,0.00029252,2.7486e-05,6.5587e-05,-3.5976e-05,1.6044e-06,1.9374e-05,1,0.128,2,0.128,0.1
-8.3878e-05,0.10994,-0.0035416,0.0031844,0.00028644,2.7873e-05,6.5676e-05,-3.5783e-05,1.6588e-06,1.9007e-05,1,0.13,2,0.13,0.1
-8.5097e-05,0.11049,-0.0035487,0.0035901,0.00028036,2.826e-05,6.5764e-05,-3.5591e-05,1.7132e-06,1.864e-05,1,0.132,2,0.132,0.1
-8.5768e-05,0.11072,-0.0035369,0.0038633,0.00027746,2.8547e-05,6.5901e-05,-3.5582e-05,1.8042e-06,1.8341e-05,1,0.134,2,0.134,0.1
-8.6268e-05,0.11085,-0.0035193,0.0040956,0.00027554,2.8803e-05,6.6052e-05,-3.563e-05,1.9066e-06,1.8064e-05,1,0.136,2,0.136,0.1
-8.6768e-05,0.11099,-0.0035016,0.0043279,0.00027362,2.9059e-05,6.6203e-05,-3.5679e-05,2.0089e-06,1.7786e-05,1,0.138,2,0.138,0.1
-8.7268e-05,0.11112,-0.003484,0.0045602,0.0002717,2.9315e-05,6.6354e-05,-3.5727e-05,2.1113e-06,1.7508e-05,1,0.14,2,0.14,0.1
-8.7768e-05,0.11125,-0.0034664,0.0047925,0.00026978,2.9571e-05,6.6505e-05,-3.5775e-05,2.2136e-06,1.7231e-05,1,0.142,2,0.142,0.1
-8.8268e-05,0.11139,-0.0034488,0.0050248,0.00026785,2.9828e-05,6.6656e-05,-3.5823e-05,2.316e-06,1.6953e-05,1,0.144,2,0.144,0.1
-8.8068e-05,0.11159,-0.0034445,0.0054404,0.00026427,3.007e-05,6.6509e-05,-3.5578e-05,2.3997e-06,1.6458e-05,1,0.146,2,0.146,0.1
-8.7812e-05,0.11179,-0.0034412,0.0058707,0.00026055,3.0312e-05,6.6337e-05,-3.531e-05,2.4819e-06,1.5945e-05,1,0.148,2,0.148,0.1
